puzzle,heuristic,time,nodes,moves
GameP33.txt,Blocking Mobility,0.9840898513793945,2883,40
GameP33.txt,Two-Step Lookahead,2.346538782119751,2970,40
GameP34.txt,Blocking Vehicles,1.23567795753479,4271,44
GameP34.txt,Manhattan Distance,1.2474048137664795,3990,48
GameP34.txt,Critical Path,1.333770751953125,4097,47
GameP34.txt,Blocking Mobility,1.2878837585449219,4063,44
GameP34.txt,Two-Step Lookahead,2.6886541843414307,4172,44
GameP35.txt,Blocking Vehicles,1.126014232635498,3875,45
GameP35.txt,Manhattan Distance,1.1536555290222168,3756,51
GameP35.txt,Critical Path,1.1428077220916748,3757,48
GameP35.txt,Blocking Mobility,1.1557090282440186,3874,46
GameP35.txt,Two-Step Lookahead,2.4674899578094482,3810,43
GameP36.txt,Blocking Vehicles,0.6989455223083496,2285,44
GameP36.txt,Manhattan Distance,0.6890640258789062,2196,46
GameP36.txt,Critical Path,0.6346845626831055,2031,45
GameP36.txt,Blocking Mobility,0.6875391006469727,2143,44
GameP36.txt,Two-Step Lookahead,1.3094115257263184,2086,44
GameP37.txt,Blocking Vehicles,0.5691430568695068,1924,47
GameP37.txt,Manhattan Distance,0.43224072456359863,1372,48
GameP37.txt,Critical Path,0.563046932220459,1841,52
GameP37.txt,Blocking Mobility,0.5342526435852051,1858,47
GameP37.txt,Two-Step Lookahead,1.1728198528289795,1875,47
GameP38.txt,Blocking Vehicles,0.9568135738372803,3367,49
GameP38.txt,Manhattan Distance,0.8934569358825684,3352,50
GameP38.txt,Critical Path,0.870568037033081,3023,52
GameP38.txt,Blocking Mobility,0.8007612228393555,3136,49
GameP38.txt,Two-Step Lookahead,1.7979960441589355,3187,49
GameP39.txt,Blocking Vehicles,0.9113509654998779,3534,50
GameP39.txt,Manhattan Distance,0.9244883060455322,3444,51
GameP39.txt,Critical Path,0.9834284782409668,3514,58
GameP39.txt,Blocking Mobility,0.9471523761749268,3533,51
GameP39.txt,Two-Step Lookahead,2.123727560043335,3527,50
GameP40.txt,Blocking Vehicles,1.5420277118682861,2812,51
GameP40.txt,Manhattan Distance,0.8711023330688477,2568,54
GameP40.txt,Critical Path,0.7754349708557129,2218,55
GameP40.txt,Blocking Mobility,0.9927241802215576,2841,51
GameP40.txt,Two-Step Lookahead,1.7591328620910645,2570,51
